state,sensor_01,machine_status,,
153,49.47916,1,,
154,49.52257,1,,
155,49.47916,1,,
156,49.47916,1,,
157,49.47916,1,,
158,49.52257,1,,
159,49.52257,1,,
160,49.52257,1,,
161,49.56597,1,,
162,49.43576,1,,
163,49.26215,1,,
164,48.82813,1,,
165,48.26389,1,,
166,47.69965,1,,
167,47.48264,1,,
168,47.82986,1,,
169,48.3941,1,,
170,48.69791,1,,
171,48.78472,1,,
172,48.87152,1,,
173,48.91493,1,,
174,48.61111,1,,
175,48.56771,1,,
176,48.87152,1,,
177,48.87152,1,,
178,48.87152,1,,
179,48.87152,1,,
180,49.13194,1,,
181,49.13194,1,,
182,49.08854,1,,
183,49.00174,1,,
184,49.00174,1,,
185,49.08854,1,,
186,48.91493,1,,
187,48.65451,1,,
188,48.3941,1,,
189,48.26389,1,,
190,48.56771,1,,
191,48.78472,1,,
192,48.91493,1,,
193,48.87152,1,,
194,48.91493,1,,
195,48.87152,1,,
196,48.91493,1,,
197,48.82813,1,,
198,48.82813,1,,
199,49.00174,1,,
200,49.00174,1,,
201,49.04514,1,,
202,48.69791,1,,
203,48.56771,1,,
204,48.4375,1,,
205,48.4375,1,,
206,48.4809,1,,
207,48.61111,1,,
208,48.69791,1,,
209,48.78472,1,,
210,48.56771,1,,
211,48.65451,1,,
212,48.82813,1,,
213,48.69791,1,,
214,48.61111,1,,
215,48.3941,1,,
216,48.13368,1,,
217,47.69965,1,,
218,47.48264,1,,
219,47.39583,1,,
220,47.78646,1,,
221,48.22049,1,,
222,48.4375,1,,
223,48.56771,1,,
224,48.61111,1,,
225,48.65451,1,,
226,48.61111,1,,
227,48.61111,1,,
228,48.56771,1,,
229,48.78472,1,,
230,48.61111,1,,
231,48.87152,1,,
232,48.69791,1,,
233,48.78472,1,,
234,48.82813,1,,
235,48.82813,1,,
236,48.69791,1,,
237,48.91493,1,,
238,48.91493,1,,
239,48.87152,1,,
240,48.78472,1,,
241,48.78472,1,,
242,48.82813,1,,
243,48.78472,1,,
244,48.78472,1,,
245,48.78472,1,,
246,48.4375,1,,
247,48.56771,1,,
248,48.61111,1,,
249,48.78472,1,,
250,48.69791,1,,
251,48.91493,1,,
252,48.61111,1,,
253,48.4809,1,,
254,48.61111,1,,
255,48.91493,1,,
256,48.4809,1,,
257,48.56771,1,,
258,48.61111,1,,
259,48.87152,1,,
260,48.69791,1,,
261,48.82813,1,,
262,48.82813,1,,
263,48.69791,1,,
264,48.69791,1,,
265,48.69791,1,,
266,48.69791,1,,
267,48.78472,1,,
268,48.78472,1,,
269,48.65451,1,,
270,48.56771,1,,
271,47.96007,1,,
272,47.69965,1,,
273,47.74305,1,,
274,47.26563,1,,
275,47.04861,1,,
276,46.8316,1,,
277,46.8316,1,,
278,46.70139,1,,
279,46.74479,1,,
280,47.13541,1,,
281,47.69965,1,,
282,48.00347,1,,
283,48.04688,1,,
284,48.17708,1,,
285,48.17708,1,,
286,48.4375,1,,
287,48.26389,1,,
288,48.22049,1,,
289,48.26389,1,,
290,48.26389,1,,
291,48.3941,1,,
292,48.4375,1,,
293,48.4375,1,,
294,48.4809,1,,
295,48.56771,1,,
296,48.4375,1,,
297,48.4809,1,,
298,48.61111,1,,
299,48.3941,1,,
300,48.35069,1,,
301,48.35069,1,,
302,48.17708,1,,
303,48.04688,1,,
304,47.78646,1,,
305,47.56944,1,,
306,47.82986,1,,
307,48.13368,1,,
308,48.22049,1,,
309,48.26389,1,,
310,48.26389,1,,
311,48.35069,1,,
312,48.17708,1,,
313,47.82986,1,,
314,47.26563,1,,
315,46.65799,1,,
316,46.70139,1,,
317,46.65799,1,,
318,47.04861,1,,
319,46.65799,1,,
320,46.74479,1,,
321,46.70139,1,,
322,46.52777,1,,
323,46.52777,1,,
324,46.65799,1,,
325,46.44097,1,,
326,46.31076,1,,
327,47.13541,1,,
328,47.17882,1,,
329,47.39583,1,,
330,47.56944,1,,
331,47.39583,1,,
332,47.48264,1,,
333,48.00347,1,,
334,47.82986,1,,
335,47.74305,1,,
336,47.96007,1,,
337,47.96007,1,,
338,47.61285,1,,
339,47.35243,1,,
340,47.52604,1,,
341,47.09201,1,,
342,47.48264,1,,
343,46.875,1,,
344,47.48264,1,,
345,46.26736,1,,
346,46.26736,1,,
347,47.09201,1,,
348,46.44097,1,,
349,46.22396,1,,
350,46.22396,1,,
351,46.44097,1,,
352,46.44097,1,,
353,46.31076,1,,
354,46.39757,1,,
355,46.39757,1,,
356,46.44097,1,,
357,46.26736,1,,
358,47.48264,1,,
359,47.26563,1,,
360,46.74479,1,,
361,46.74479,1,,
362,46.39757,1,,
363,46.8316,1,,
364,47.04861,1,,
365,47.52604,1,,
366,47.52604,1,,
367,47.52604,1,,
368,45.78993,1,,
369,47.74305,1,,
370,47.56944,1,,
371,47.56944,1,,
372,47.48264,1,,
373,47.56944,1,,
374,47.61285,1,,
375,47.61285,1,,
376,47.61285,1,,
377,47.78646,1,,
378,47.61285,1,,
379,47.52604,1,,
380,47.69965,1,,
381,47.52604,1,,
382,47.13541,1,,
383,47.04861,1,,
384,46.70139,1,,
385,46.26736,1,,
386,46.18055,1,,
387,47.61285,1,,
388,47.39583,1,,
389,47.74305,1,,
390,46.74479,1,,
391,47.52604,1,,
392,46.31076,1,,
393,46.9184,1,,
394,46.9618,1,,
395,47.35243,1,,
396,47.13541,1,,
397,46.65799,1,,
398,47.48264,1,,
399,47.56944,1,,
400,46.70139,1,,
401,47.30902,1,,
402,46.52777,1,,
403,46.875,1,,
404,46.61458,1,,
405,47.39583,1,,
406,46.52777,1,,
407,46.9184,1,,
408,46.74479,1,,
409,46.9184,1,,
410,47.04861,1,,
411,47.13541,1,,
412,47.04861,1,,
413,47.17882,1,,
414,47.17882,1,,
415,47.26563,1,,
416,47.04861,1,,
417,46.9184,1,,
418,47.13541,1,,
419,47.30902,1,,
420,47.61285,1,,
421,47.61285,1,,
422,47.17882,1,,
423,47.56944,1,,
424,47.26563,1,,
425,47.26563,1,,
426,47.26563,1,,
427,47.17882,1,,
428,47.17882,1,,
429,47.17882,1,,
430,47.30902,1,,
431,47.56944,1,,
432,47.13541,1,,
433,47.13541,1,,
434,47.17882,1,,
435,47.26563,1,,
436,47.35243,1,,
437,47.13541,1,,
438,47.09201,1,,
439,47.09201,1,,
440,47.13541,1,,
441,47.04861,1,,
442,47.30902,1,,
443,47.26563,1,,
444,47.26563,1,,
445,47.35243,1,,
446,47.30902,1,,
447,47.52604,1,,
448,47.26563,1,,
449,46.9184,1,,
450,47.09201,1,,
451,46.70139,1,,
452,46.65799,1,,
453,46.65799,1,,
454,46.65799,1,,
455,46.44097,1,,
456,46.52777,1,,
457,46.8316,1,,
458,46.61458,1,,
459,46.52777,1,,
460,46.61458,1,,
461,46.65799,1,,
462,46.61458,1,,
463,46.61458,1,,
464,46.65799,1,,
465,46.70139,1,,
466,46.8316,1,,
467,46.8316,1,,
468,46.74479,1,,
469,46.875,1,,
470,47.04861,1,,
471,46.9618,1,,
472,46.875,1,,
473,46.875,1,,
474,46.9618,1,,
475,46.875,1,,
476,46.70139,1,,
477,46.9184,1,,
478,47.09201,1,,
479,47.09201,1,,
480,47.17882,1,,
481,47.17882,1,,
482,47.04861,1,,
483,47.13541,1,,
484,46.875,1,,
485,46.39757,1,,
486,46.9618,1,,
487,46.26736,1,,
488,46.48438,1,,
489,46.26736,1,,
490,46.22396,1,,
491,46.31076,1,,
492,46.26736,1,,
493,46.31076,1,,
494,46.18055,1,,
495,46.18055,1,,
496,46.26736,1,,
497,46.31076,1,,
498,46.18055,1,,
499,499,499,499,499
500,46.22396,1,,
501,46.09375,1,,
